operator,from_gare_id,from_gare,to_gare_id,to_gare,source_km,osrm_km,delta_km,ratio
APRR,55,ARLAY,339,GONDREVILLE A77/S,365.17,317.951,-47.219,0.8707
APRR,55,ARLAY,348,GROISSIAT,130.75,94.833,-35.917,0.7253
APRR,55,ARLAY,352,GYE,261.46,258.479,-2.981,0.9886
APRR,55,ARLAY,365,JARNY,461.56,350.966,-110.594,0.7604
APRR,55,ARLAY,366,JOIGNY,268.3,265.76,-2.54,0.9905
APRR,55,ARLAY,370,L ISLE-S/LE-DOUBS,147.5,148.373,0.873,1.0059
APRR,55,ARLAY,377,LA BOISSE,151.33,180.065,28.735,1.1899
APRR,55,ARLAY,378,LA BOISSE - MONTLUEL,129.8,161.371,31.571,1.2432
APRR,55,ARLAY,386,LA COTIERE,135.76,151.486,15.726,1.1158
APRR,55,ARLAY,388,La Croix-Chalon,116.15,102.896,-13.254,0.8859
APRR,55,ARLAY,393,LA FOLIE-B/PARIS,467.82,393.041,-74.779,0.8402
APRR,55,ARLAY,422,LAMOTTE-BEUVRON,439.92,438.245,-1.675,0.9962
APRR,55,ARLAY,425,LANGRES NORD,152.95,154.542,1.592,1.0104
APRR,55,ARLAY,426,Langres sud,133.3,135.323,2.023,1.0152
APRR,55,ARLAY,450,LE MIROIR,30.54,52.388,21.848,1.7154
APRR,55,ARLAY,463,LES EPRUNES,383.95,372.481,-11.469,0.9701
APRR,55,ARLAY,493,Mâcon centre,101.35,122.046,20.696,1.2042
APRR,55,ARLAY,494,Mâcon nord,106.2,126.442,20.242,1.1906
APRR,55,ARLAY,498,Magnant,217.12,271.23,54.11,1.2492
APRR,55,ARLAY,503,MANZAT,675.63,350.807,-324.823,0.5192
APRR,55,ARLAY,507,Marolles-sur-Seine,335.56,336.177,0.617,1.0018
APRR,55,ARLAY,516,MER,433.42,467.903,34.483,1.0796
APRR,55,ARLAY,520,Meung-sur-Loire,416.92,415.147,-1.773,0.9957
APRR,55,ARLAY,533,MONT-CHOISY,319.76,318.967,-0.793,0.9975
APRR,55,ARLAY,549,Montigny-le-Roi,173.05,218.954,45.904,1.2653
APRR,55,ARLAY,552,MONTMARAULT,619.8,340.594,-279.206,0.5495
APRR,55,ARLAY,560,MONTREUIL (REIMS),439.76,430.931,-8.829,0.9799
APRR,55,ARLAY,562,MONTREUIL AUX LIONS,466.06,439.068,-26.992,0.9421
APRR,55,ARLAY,585,NEMOURS,323.28,328.545,5.265,1.0163
APRR,55,ARLAY,602,NITRY,206.0,203.685,-2.315,0.9888
APRR,55,ARLAY,605,Nuits-St-Georges,95.95,98.13,2.18,1.0227
APRR,55,ARLAY,607,OLIVET,407.62,408.448,0.828,1.002
APRR,55,ARLAY,616,ORLEANS-CENTRE,401.22,414.106,12.886,1.0321
APRR,55,ARLAY,617,Orléans nord,395.22,396.887,1.667,1.0042
APRR,55,ARLAY,637,Pérouges,118.95,139.523,20.573,1.173
APRR,55,ARLAY,652,PONT D AIN,94.13,114.557,20.427,1.217
APRR,55,ARLAY,660,POUILLY-EN-AUXOIS,131.7,178.077,46.377,1.3521
APRR,55,ARLAY,672,REIMS EST (TAISSY),366.76,363.965,-2.795,0.9924
APRR,55,ARLAY,674,REIMS NORD (ORMES),373.36,370.849,-2.511,0.9933
APRR,55,ARLAY,678,REIMS OUEST (THILLOIS),379.96,372.636,-7.324,0.9807
APRR,55,ARLAY,679,REIMS SUD,365.76,364.916,-0.844,0.9977
APRR,55,ARLAY,683,REPLONGES,95.35,116.432,21.082,1.2211
APRR,55,ARLAY,687,RIOM,676.72,330.723,-345.997,0.4887
APRR,55,ARLAY,689,Robecourt,195.01,224.365,29.355,1.1505
APRR,55,ARLAY,714,SAINT GENIS,85.32,105.925,20.605,1.2415
APRR,55,ARLAY,726,SAINT MAURICE,187.5,154.882,-32.618,0.826
APRR,55,ARLAY,732,SAINT THIBAULT,243.35,243.397,0.047,1.0002
APRR,55,ARLAY,740,SALBRIS,458.62,452.998,-5.622,0.9877
APRR,55,ARLAY,754,SAVIGNY /CLAIRIS,286.02,284.426,-1.594,0.9944
APRR,55,ARLAY,769,Seurre,65.4,66.069,0.668,1.0102
APRR,55,ARLAY,777,SOIRANS,56.7,57.101,0.401,1.0071
APRR,55,ARLAY,778,Sommesous,298.46,306.905,8.445,1.0283
APRR,55,ARLAY,785,St-Amand-Montrond,553.07,359.143,-193.927,0.6494
APRR,55,ARLAY,792,St-Etienne-au-Temple,347.96,347.716,-0.244,0.9993
APRR,55,ARLAY,799,ST GERMAIN LES VERGNE,828.63,502.071,-326.559,0.6059
APRR,55,ARLAY,802,St-Gibrien,327.16,325.784,-1.376,0.9958
APRR,55,ARLAY,803,ST HILAIRE,290.22,290.5,0.28,1.001
APRR,55,ARLAY,812,ST JULIEN / SANCY,718.63,398.37,-320.26,0.5543
APRR,55,ARLAY,819,St-Martin-du-Fresne,110.86,107.367,-3.493,0.9685
APRR,55,ARLAY,834,St-Romain-sur-Cher,527.62,542.997,15.377,1.0291
APRR,55,ARLAY,791,ST-DENIS-LES-SENS,309.48,308.836,-0.644,0.9979
APRR,55,ARLAY,798,St-Germain-Laxis,367.61,386.492,18.882,1.0514
APRR,55,ARLAY,840,STE MENEHOULD,380.96,381.99,1.03,1.0027
APRR,55,ARLAY,842,SYLANS,120.43,141.891,21.461,1.1782
APRR,55,ARLAY,853,THENNELIERES,247.27,246.323,-0.947,0.9962
APRR,55,ARLAY,861,TIL CHATEL,103.25,165.397,62.147,1.6019
APRR,55,ARLAY,863,TORVILLIERS,259.43,261.017,1.587,1.0061
APRR,55,ARLAY,872,TOURNUS,131.7,84.525,-47.175,0.6418
APRR,55,ARLAY,873,TOURS-C/MONNAIE,508.52,501.849,-6.671,0.9869
APRR,55,ARLAY,888,TULLE EST,802.63,476.088,-326.542,0.5932
APRR,55,ARLAY,890,TULLE NORD,810.63,487.701,-322.929,0.6016
APRR,55,ARLAY,893,URY,335.11,333.615,-1.495,0.9955
APRR,55,ARLAY,895,USSEL EST,742.63,417.44,-325.19,0.5621
APRR,55,ARLAY,897,USSEL OUEST,759.63,433.468,-326.162,0.5706
APRR,55,ARLAY,902,VAL DE SAONE,105.67,123.179,17.509,1.1657
APRR,55,ARLAY,906,VALLÉE DE L'AUBE,274.16,272.951,-1.209,0.9956
APRR,55,ARLAY,909,VATRY,302.76,301.61,-1.15,0.9962
APRR,55,ARLAY,912,VEIGNE,589.62,527.609,-62.011,0.8948
APRR,55,ARLAY,916,VERDUN,439.06,344.042,-95.018,0.7836
APRR,55,ARLAY,922,VIERZON EST,485.32,427.989,-57.331,0.8819
APRR,55,ARLAY,923,VIERZON NORD,479.62,432.767,-46.853,0.9023
APRR,55,ARLAY,925,VILLE SOUS LAFERTE,189.45,189.786,0.336,1.0018
APRR,55,ARLAY,931,VILLEFRANCHE S/ CHER,495.12,460.924,-34.196,0.9309
APRR,55,ARLAY,934,VILLENEUVE-DONDAGRE,296.47,294.026,-2.444,0.9918
APRR,55,ARLAY,939,Viriat,69.32,91.059,21.739,1.3136
APRR,55,ARLAY,943,VIRY,180.28,196.649,16.369,1.0908
