gare_id,canonical_name,direction,in_anchors,status,toll_roads,toll_m,origin_used,maps_link
566,Mougins,exit,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.585970,7.003085/43.585970,7.003085"
567,Mouguerre Bourg,entry,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.464287,-1.427377/43.464287,-1.427377"
567,Mouguerre Bourg,exit,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.464287,-1.427377/43.464287,-1.427377"
568,Mouguerre Elizaberry,entry,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.451181,-1.382134/43.451181,-1.382134"
568,Mouguerre Elizaberry,exit,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.451181,-1.382134/43.451181,-1.382134"
569,Moulis,entry,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.938338,1.321258/43.938338,1.321258"
569,Moulis,exit,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.938338,1.321258/43.938338,1.321258"
570,Mousserolles,entry,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.475928,-1.439686/43.475928,-1.439686"
570,Mousserolles,exit,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.475928,-1.439686/43.475928,-1.439686"
571,Peage de Muret,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.505660,1.351837/43.505660,1.351837"
571,Peage de Muret,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.505660,1.351837/43.505660,1.351837"
572,Muret nord,entry,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.474325,1.319397/43.474325,1.319397"
572,Muret nord,exit,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.474325,1.319397/43.474325,1.319397"
573,Mûrs-Érigné,entry,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/47.393024,-0.540297/47.393024,-0.540297"
573,Mûrs-Érigné,exit,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/47.393024,-0.540297/47.393024,-0.540297"
574,Péage de Mussidan,entry,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/45.065466,0.429724/45.065466,0.429724"
574,Péage de Mussidan,exit,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/45.065466,0.429724/45.065466,0.429724"
575,Mussidan est,entry,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/45.063528,0.427493/45.063528,0.427493"
575,Mussidan est,exit,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/45.063528,0.427493/45.063528,0.427493"
576,Mussidan sud,entry,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/45.010530,0.377259/45.010530,0.377259"
576,Mussidan sud,exit,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/45.010530,0.377259/45.010530,0.377259"
577,MYENNES,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/47.437544,2.940581/47.437544,2.940581"
577,MYENNES,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/47.437544,2.940581/47.437544,2.940581"
578,Nailloux,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.386258,1.623313/43.386258,1.623313"
578,Nailloux,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.386258,1.623313/43.386258,1.623313"
579,NANTES,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/47.400840,-1.194432/47.400840,-1.194432"
579,NANTES,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/47.400840,-1.194432/47.400840,-1.194432"
580,NANTES,entry,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/47.270021,-1.559258/47.270021,-1.559258"
580,NANTES,exit,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/47.270021,-1.559258/47.270021,-1.559258"
581,NANTES,entry,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/47.291283,-1.476359/47.291283,-1.476359"
581,NANTES,exit,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/47.291283,-1.476359/47.291283,-1.476359"
582,Narbonne est,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.176074,3.033126/43.176074,3.033126"
582,Narbonne est,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.176074,3.033126/43.176074,3.033126"
583,Narbonne sud,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.155119,2.988830/43.155119,2.988830"
583,Narbonne sud,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.155119,2.988830/43.155119,2.988830"
584,NÉCY,entry,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/48.819990,-0.132301/48.819990,-0.132301"
584,NÉCY,exit,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/48.819990,-0.132301/48.819990,-0.132301"
585,NEMOURS,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/48.275306,2.710381/48.275306,2.710381"
585,NEMOURS,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/48.275306,2.710381/48.275306,2.710381"
586,Nespouls,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/44.998877,1.529343/44.998877,1.529343"
586,Nespouls,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/44.998877,1.529343/44.998877,1.529343"
587,NEUFCHÂTEL-EN-BRAY,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/49.743680,1.656198/49.743680,1.656198"
587,NEUFCHÂTEL-EN-BRAY,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/49.743680,1.656198/49.743680,1.656198"
588,NEUFCHÂTEL-HARDELOT,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/50.610750,1.655942/50.610750,1.655942"
588,NEUFCHÂTEL-HARDELOT,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/50.610750,1.655942/50.610750,1.655942"
589,NEUILLE-PONT-PIERRE,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/47.554568,0.598665/47.554568,0.598665"
589,NEUILLE-PONT-PIERRE,exit,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/47.554568,0.598665/47.554568,0.598665"
590,Nice Aéroport,entry,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.674947,7.197442/43.674947,7.197442"
590,Nice Aéroport,exit,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.674947,7.197442/43.674947,7.197442"
591,Nice-est,entry,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.733092,7.291479/43.733092,7.291479"
591,Nice-est,exit,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.733092,7.291479/43.733092,7.291479"
592,Nice-ouest,entry,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.668557,7.198904/43.668557,7.198904"
592,Nice-ouest,exit,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.668557,7.198904/43.668557,7.198904"
593,Nice quartier-nord,entry,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.729921,7.258270/43.729921,7.258270"
593,Nice quartier-nord,exit,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.729921,7.258270/43.729921,7.258270"
594,Nice St-Isidore,entry,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.706912,7.191106/43.706912,7.191106"
594,Nice St-Isidore,exit,False,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.706912,7.191106/43.706912,7.191106"
595,Nîmes centre,entry,True,NO_ORIGIN,,0.0,,"https://www.google.com/maps/dir/43.803847,4.377450/43.803847,4.377450"
