pair,gc_km,vot,fastest_min,fastest_km,fastest_eur,fastest_sections,fastest_unpriced,notoll_min,notoll_km,baseline,baseline_G,tree_min,tree_eur,tree_G,tree_alt,tree_kind,gain_vs_baseline_G,eur_saved_vs_fastest,min_added_vs_fastest,n_choices
Montpellier->Dijon,422.5,40.0,324.5,495.6,50.7,1,0,490.5,616.8,fastest,267.04,324.5,50.7,267.04,0,asis,0.0,0.0,0.0,0
Metz->Roanne,377.5,5.0,328.4,470.8,24.8,1,0,426.7,504.0,notoll,35.56,426.7,0.0,35.56,0,all_skip,0.0,24.8,98.2,0
Metz->Roanne,377.5,10.0,328.4,470.8,24.8,1,0,426.7,504.0,notoll,71.11,426.7,0.0,71.11,0,all_skip,0.0,24.8,98.2,0
Metz->Roanne,377.5,20.0,328.4,470.8,24.8,1,0,426.7,504.0,fastest,134.27,328.4,24.8,134.27,0,asis,0.0,0.0,0.0,0
Metz->Roanne,377.5,40.0,328.4,470.8,24.8,1,0,426.7,504.0,fastest,243.75,328.4,24.8,243.75,0,asis,0.0,0.0,0.0,0
Le Mans->Besancon,444.7,5.0,357.6,573.8,35.8,2,1,492.7,518.5,notoll,41.06,492.7,0.0,41.06,0,all_skip,0.0,35.8,135.1,0
Le Mans->Besancon,444.7,10.0,357.6,573.8,35.8,2,1,492.7,518.5,notoll,82.11,492.7,0.0,82.11,0,all_skip,0.0,35.8,135.1,0
Le Mans->Besancon,444.7,20.0,357.6,573.8,35.8,2,1,492.7,518.5,fastest,155.0,438.5,14.8,160.95,1,surgery,-5.95,21.0,80.9,1
Le Mans->Besancon,444.7,40.0,357.6,573.8,35.8,2,1,492.7,518.5,fastest,274.2,407.8,27.2,299.07,1,surgery,-24.87,8.6,50.2,1
Angers->Troyes,357.5,5.0,269.9,429.4,0,1,1,379.1,410.5,fastest,22.49,379.1,0.0,31.59,0,all_skip,-9.1,0.0,109.2,0
Angers->Troyes,357.5,10.0,269.9,429.4,0,1,1,379.1,410.5,fastest,44.98,379.1,0.0,63.18,0,all_skip,-18.2,0.0,109.2,0
Angers->Troyes,357.5,20.0,269.9,429.4,0,1,1,379.1,410.5,fastest,89.95,379.1,0.0,126.36,0,all_skip,-36.4,0.0,109.2,0
Angers->Troyes,357.5,40.0,269.9,429.4,0,1,1,379.1,410.5,fastest,179.91,379.1,0.0,252.72,0,all_skip,-72.81,0.0,109.2,0
Nice->Roanne,360.8,5.0,370.3,564.9,50.3,1,0,524.1,529.2,notoll,43.67,524.1,0.0,43.67,0,all_skip,0.0,50.3,153.8,0
Nice->Roanne,360.8,10.0,370.3,564.9,50.3,1,0,524.1,529.2,notoll,87.35,524.1,0.0,87.35,0,all_skip,0.0,50.3,153.8,0
Nice->Roanne,360.8,20.0,370.3,564.9,50.3,1,0,524.1,529.2,fastest,173.74,401.6,37.9,171.78,1,other_alt,1.97,12.4,31.3,0
Nice->Roanne,360.8,40.0,370.3,564.9,50.3,1,0,524.1,529.2,fastest,297.19,370.3,50.3,297.19,0,asis,0.0,0.0,0.0,0
Brest->Poitiers,414.7,5.0,353.5,517.3,17.5,1,0,369.5,483.7,notoll,30.79,369.5,0.0,30.79,0,all_skip,0.0,17.5,15.9,0
Brest->Poitiers,414.7,10.0,353.5,517.3,17.5,1,0,369.5,483.7,notoll,61.58,369.5,0.0,61.58,0,all_skip,0.0,17.5,15.9,0
Brest->Poitiers,414.7,20.0,353.5,517.3,17.5,1,0,369.5,483.7,notoll,123.15,369.5,0.0,123.15,0,all_skip,0.0,17.5,15.9,0
Brest->Poitiers,414.7,40.0,353.5,517.3,17.5,1,0,369.5,483.7,notoll,246.3,369.5,0.0,246.3,0,all_skip,0.0,17.5,15.9,0
Nimes->Besancon,399.7,5.0,318.8,504.0,49.8,1,0,468.8,465.7,notoll,39.07,468.8,0.0,39.07,0,all_skip,0.0,49.8,150.0,0
Nimes->Besancon,399.7,10.0,318.8,504.0,49.8,1,0,468.8,465.7,notoll,78.13,468.8,0.0,78.13,0,all_skip,0.0,49.8,150.0,0
Nimes->Besancon,399.7,20.0,318.8,504.0,49.8,1,0,468.8,465.7,fastest,156.07,318.8,49.8,156.07,0,asis,0.0,0.0,0.0,0
Nimes->Besancon,399.7,40.0,318.8,504.0,49.8,1,0,468.8,465.7,fastest,262.34,318.8,49.8,262.34,0,asis,0.0,0.0,0.0,0
Bordeaux->Saint-Etienne,395.2,5.0,338.0,529.8,46.9,1,0,474.1,581.7,notoll,39.51,474.1,0.0,39.51,0,all_skip,0.0,46.9,136.1,0
Bordeaux->Saint-Etienne,395.2,10.0,338.0,529.8,46.9,1,0,474.1,581.7,notoll,79.02,474.1,0.0,79.02,0,all_skip,0.0,46.9,136.1,0
Bordeaux->Saint-Etienne,395.2,20.0,338.0,529.8,46.9,1,0,474.1,581.7,notoll,158.05,465.0,2.5,157.5,2,surgery,0.54,44.4,127.0,1
Bordeaux->Saint-Etienne,395.2,40.0,338.0,529.8,46.9,1,0,474.1,581.7,fastest,272.23,338.0,46.9,272.23,0,asis,0.0,0.0,0.0,0
Lille->Angers,438.5,5.0,327.4,516.8,14.6,2,1,466.4,557.5,notoll,38.86,466.4,0.0,38.86,0,all_skip,0.0,14.6,138.9,0
Lille->Angers,438.5,10.0,327.4,516.8,14.6,2,1,466.4,557.5,fastest,69.17,466.4,0.0,77.73,0,all_skip,-8.56,14.6,138.9,0
Lille->Angers,438.5,20.0,327.4,516.8,14.6,2,1,466.4,557.5,fastest,123.74,466.4,0.0,155.46,0,all_skip,-31.72,14.6,138.9,0
Lille->Angers,438.5,40.0,327.4,516.8,14.6,2,1,466.4,557.5,fastest,232.88,396.1,33.6,297.67,0,surgery,-64.79,-19.0,68.7,2
Rennes->Calais,405.4,5.0,332.5,530.3,24.5,2,0,423.1,538.2,notoll,35.25,423.1,0.0,35.25,0,all_skip,0.0,24.5,90.5,0
Rennes->Calais,405.4,10.0,332.5,530.3,24.5,2,0,423.1,538.2,notoll,70.51,423.1,0.0,70.51,0,all_skip,0.0,24.5,90.5,0
Rennes->Calais,405.4,20.0,332.5,530.3,24.5,2,0,423.1,538.2,fastest,135.35,332.5,24.5,135.35,0,asis,0.0,0.0,0.0,0
Rennes->Calais,405.4,40.0,332.5,530.3,24.5,2,0,423.1,538.2,fastest,246.2,332.5,24.5,246.2,0,asis,0.0,0.0,0.0,0
Lille->Mulhouse,446.1,5.0,403.4,660.5,50.7,1,0,489.9,589.3,notoll,40.82,489.9,0.0,40.82,0,all_skip,0.0,50.7,86.5,0
Lille->Mulhouse,446.1,10.0,403.4,660.5,50.7,1,0,489.9,589.3,notoll,81.65,489.9,0.0,81.65,0,all_skip,0.0,50.7,86.5,0
Lille->Mulhouse,446.1,20.0,403.4,660.5,50.7,1,0,489.9,589.3,notoll,163.3,489.9,0.0,163.3,0,all_skip,0.0,50.7,86.5,0
Lille->Mulhouse,446.1,40.0,403.4,660.5,50.7,1,0,489.9,589.3,fastest,319.6,403.4,50.7,319.6,0,asis,0.0,0.0,0.0,0
Lyon->Charleville-Mezieres,445.7,5.0,350.3,568.7,49.7,1,0,515.5,569.5,notoll,42.96,515.5,0.0,42.96,0,all_skip,0.0,49.7,165.2,0
Lyon->Charleville-Mezieres,445.7,10.0,350.3,568.7,49.7,1,0,515.5,569.5,notoll,85.92,515.5,0.0,85.92,0,all_skip,0.0,49.7,165.2,0
Lyon->Charleville-Mezieres,445.7,20.0,350.3,568.7,49.7,1,0,515.5,569.5,fastest,166.47,413.9,21.3,159.26,1,surgery,7.2,28.4,63.6,2
Lyon->Charleville-Mezieres,445.7,40.0,350.3,568.7,49.7,1,0,515.5,569.5,fastest,283.23,350.3,49.7,283.23,0,asis,0.0,0.0,0.0,0
Brest->Chartres,440.9,5.0,344.7,511.6,26.4,1,0,422.1,501.2,notoll,35.17,422.1,0.0,35.17,0,all_skip,0.0,26.4,77.3,0
Brest->Chartres,440.9,10.0,344.7,511.6,26.4,1,0,422.1,501.2,notoll,70.34,422.1,0.0,70.34,0,all_skip,0.0,26.4,77.3,0
Brest->Chartres,440.9,20.0,344.7,511.6,26.4,1,0,422.1,501.2,notoll,140.69,422.1,0.0,140.69,0,all_skip,0.0,26.4,77.3,0
Brest->Chartres,440.9,40.0,344.7,511.6,26.4,1,0,422.1,501.2,fastest,256.23,344.7,26.4,256.23,0,asis,0.0,0.0,0.0,0
Valence->Niort,444.2,5.0,463.9,737.9,75.8,1,0,531.9,583.9,notoll,44.32,531.9,0.0,44.32,0,all_skip,0.0,75.8,67.9,0
Valence->Niort,444.2,10.0,463.9,737.9,75.8,1,0,531.9,583.9,notoll,88.64,531.9,0.0,88.64,0,all_skip,0.0,75.8,67.9,0
Valence->Niort,444.2,20.0,463.9,737.9,75.8,1,0,531.9,583.9,notoll,177.28,531.9,0.0,177.28,0,all_skip,0.0,75.8,67.9,0
Valence->Niort,444.2,40.0,463.9,737.9,75.8,1,0,531.9,583.9,notoll,354.57,531.9,0.0,354.57,0,all_skip,0.0,75.8,67.9,0
Reims->Clermont-Ferrand,393.5,5.0,348.3,557.1,43.4,2,1,430.8,483.6,notoll,35.9,430.8,0.0,35.9,0,all_skip,0.0,43.4,82.5,0
