pair,vot,engine_eur,engine_min,engine_G,tree_eur,tree_min,tree_G,tree_kind,fastest_unpriced,engine_minus_tree_G,engine_solve_s
Brest->Poitiers,40.0,0.0,376.1,250.75,0.0,369.5,246.3,all_skip,0,4.45,0.02
Nimes->Besancon,5.0,0.0,472.4,39.37,0.0,468.8,39.07,all_skip,0,0.3,0.02
Nimes->Besancon,10.0,0.0,472.4,78.73,0.0,468.8,78.13,all_skip,0,0.6,0.02
Nimes->Besancon,20.0,24.1,389.0,153.78,37.1,318.8,143.37,asis,0,10.41,0.03
Nimes->Besancon,40.0,27.1,378.4,279.34,37.1,318.8,249.64,asis,0,29.7,0.04
Bordeaux->Saint-Etienne,5.0,0.0,498.2,41.51,0.0,474.1,39.51,all_skip,0,2.0,0.03
Bordeaux->Saint-Etienne,10.0,0.0,498.2,83.03,0.0,474.1,79.02,all_skip,0,4.01,0.02
Bordeaux->Saint-Etienne,20.0,8.6,472.1,165.96,2.2,465.0,157.2,surgery,0,8.76,0.02
Bordeaux->Saint-Etienne,40.0,43.6,389.5,303.24,45.1,338.0,270.43,asis,0,32.81,0.02
Lille->Angers,5.0,0.0,485.8,40.48,0.0,466.4,38.86,all_skip,0,1.62,0.02
Lille->Angers,10.0,0.0,485.8,80.97,0.0,466.4,77.73,all_skip,0,3.24,0.02
Lille->Angers,20.0,0.0,473.4,157.79,39.3,327.4,148.44,asis,0,9.35,0.03
Lille->Angers,40.0,32.5,406.2,303.27,39.3,327.4,257.58,asis,0,45.69,0.02
Rennes->Calais,5.0,0.0,455.4,37.95,0.0,423.1,35.25,all_skip,0,2.7,0.05
Rennes->Calais,10.0,0.0,428.9,71.49,0.0,423.1,70.51,all_skip,0,0.98,0.04
Rennes->Calais,20.0,9.3,392.2,140.05,20.3,332.5,131.15,asis,0,8.9,0.03
Rennes->Calais,40.0,19.8,362.4,261.41,20.3,332.5,242.0,asis,0,19.41,0.03
Lille->Mulhouse,5.0,0.0,515.9,42.99,0.0,489.9,40.82,all_skip,0,2.17,0.02
Lille->Mulhouse,10.0,0.0,515.9,85.98,0.0,489.9,81.65,all_skip,0,4.33,0.02
Lille->Mulhouse,20.0,7.1,473.0,164.78,22.5,403.4,156.95,asis,0,7.83,0.02
Lille->Mulhouse,40.0,12.5,457.9,317.8,22.5,403.4,291.4,asis,0,26.4,0.02
Lyon->Charleville-Mezieres,5.0,0.0,532.9,44.41,0.0,515.5,42.96,all_skip,0,1.45,0.03
Lyon->Charleville-Mezieres,10.0,0.0,529.6,88.26,0.0,515.5,85.92,all_skip,0,2.34,0.02
Lyon->Charleville-Mezieres,20.0,23.7,417.9,162.99,34.2,350.3,150.97,asis,0,12.02,0.02
Lyon->Charleville-Mezieres,40.0,23.7,408.4,296.0,34.2,350.3,267.73,asis,0,28.27,0.02
Brest->Chartres,5.0,0.0,432.2,36.02,0.0,422.1,35.17,all_skip,0,0.85,0.02
Brest->Chartres,10.0,0.0,432.2,72.04,0.0,422.1,70.34,all_skip,0,1.7,0.02
Brest->Chartres,20.0,13.9,383.9,141.85,22.4,344.7,137.31,asis,0,4.54,0.02
Brest->Chartres,40.0,22.1,365.1,265.53,22.4,344.7,252.23,asis,0,13.3,0.02
Valence->Niort,5.0,0.0,552.7,46.06,0.0,531.9,44.32,all_skip,0,1.74,0.03
Valence->Niort,10.0,0.0,539.7,89.95,0.0,531.9,88.64,all_skip,0,1.31,0.03
Valence->Niort,20.0,0.0,537.6,179.21,0.0,531.9,177.28,all_skip,0,1.93,0.03
Valence->Niort,40.0,0.0,537.6,358.43,8.5,519.0,354.47,surgery,0,3.96,0.03
Reims->Clermont-Ferrand,5.0,0.0,436.4,36.37,0.0,430.8,35.9,all_skip,0,0.47,0.03
Reims->Clermont-Ferrand,10.0,0.0,436.4,72.73,0.0,430.8,71.8,all_skip,0,0.93,0.02
Reims->Clermont-Ferrand,20.0,0.0,436.4,145.47,20.9,355.6,139.43,other_alt,0,6.04,0.02
Reims->Clermont-Ferrand,40.0,1.7,429.1,287.75,20.9,355.6,257.95,other_alt,0,29.8,0.02
Montpellier->Bordeaux,5.0,0.0,464.1,38.67,0.0,455.1,37.92,all_skip,0,0.75,0.03
Montpellier->Bordeaux,10.0,0.0,464.1,77.35,0.0,455.1,75.84,all_skip,0,1.51,0.03
Montpellier->Bordeaux,20.0,14.6,394.9,146.24,40.2,307.2,142.61,asis,0,3.63,0.03
Montpellier->Bordeaux,40.0,51.1,326.3,268.61,40.2,307.2,245.03,asis,0,23.58,0.03
Chambery->Perigueux,5.0,0.0,538.3,44.86,0.0,535.3,44.61,all_skip,0,0.25,0.03
Chambery->Perigueux,10.0,0.0,538.3,89.72,0.0,535.3,89.22,all_skip,0,0.5,0.02
Chambery->Perigueux,20.0,8.8,502.4,176.26,50.1,351.7,167.32,asis,0,8.94,0.02
Chambery->Perigueux,40.0,48.2,410.6,321.94,50.1,351.7,284.54,asis,0,37.4,0.02
Chambery->Montauban,5.0,0.0,500.3,41.69,0.0,495.6,41.3,all_skip,1,0.39,0.03
Chambery->Montauban,10.0,0.0,500.3,83.39,0.0,495.6,82.61,all_skip,1,0.78,0.03
Chambery->Montauban,20.0,8.8,462.8,163.06,13.0,446.6,161.86,other_alt,1,1.2,0.03
Chambery->Montauban,40.0,9.7,461.0,317.0,13.0,446.6,310.72,other_alt,1,6.28,0.03
